Image,Class,X_min,Y_min,X_max,Y_max
000119.png,car,386,188,475,252
000121.png,car,720,168,754,196
000121.png,car,635,171,683,203
000121.png,car,346,181,412,220
000121.png,car,486,178,524,206
000121.png,car,689,170,714,187
000127.png,car,754,181,901,267
000127.png,car,382,179,437,202
000131.png,car,209,181,325,239
000131.png,car,440,175,527,217
000131.png,car,567,170,629,203
000134.png,car,336,182,484,285
000134.png,car,473,169,498,191
000139.png,truck,132,175,261,252
000139.png,car,592,175,622,202
000140.png,truck,449,155,532,233
000140.png,car,712,162,823,246
000140.png,car,548,170,601,211
000141.png,car,407,185,527,259
000144.png,car,922,201,1241,369
000144.png,car,0,207,273,373
000144.png,car,472,172,523,219
000149.png,car,744,187,932,300
000149.png,car,688,180,799,262
000149.png,car,513,179,555,215
000150.png,car,564,174,617,225
000150.png,car,530,179,558,199
000152.png,car,50,198,435,372
000152.png,car,755,152,1108,373
000152.png,car,666,188,738,250
000152.png,car,463,186,534,240
000152.png,car,532,184,565,204
000153.png,car,671,160,703,192
000154.png,car,97,178,310,272
000154.png,car,831,161,935,203
000154.png,car,577,173,661,212
000155.png,car,157,190,243,244
000155.png,car,709,181,754,210
000155.png,car,238,195,278,231
000156.png,car,0,126,137,283
000157.png,car,1198,203,1241,334
000157.png,car,657,179,877,257
000157.png,car,587,182,693,245
000157.png,car,327,196,401,237
000157.png,truck,895,135,1201,310
000157.png,car,213,197,285,243
000162.png,car,570,175,632,230
000162.png,car,134,173,205,210
000162.png,car,2,175,116,217
000162.png,car,43,175,117,218
000164.png,car,551,175,615,232
000164.png,car,365,171,402,188
000165.png,car,0,206,126,371
000165.png,car,579,177,635,220
000165.png,car,389,165,464,245
000165.png,car,11,142,362,350
000165.png,car,438,164,483,219
000165.png,car,536,172,564,193
000166.png,car,568,167,615,213
000168.png,car,835,190,916,224
000168.png,car,956,191,1045,226
000168.png,car,552,182,601,220
000168.png,car,501,182,536,209
000169.png,car,781,179,1113,373
000169.png,car,0,193,262,344
000169.png,car,0,257,117,373
000169.png,car,678,180,748,239
000169.png,car,419,179,489,224
000169.png,car,738,177,830,229
000169.png,car,278,195,337,265
000169.png,car,451,182,489,223
000169.png,car,294,191,430,257
000169.png,car,345,179,464,240
000170.png,car,744,173,794,213
000171.png,car,117,204,221,262
000171.png,car,50,217,157,270
000171.png,car,0,219,55,260
000171.png,car,566,185,646,257
000171.png,car,216,201,273,238
000173.png,car,243,179,562,371
000173.png,car,914,212,1241,372
000173.png,car,0,225,284,372
000173.png,car,550,176,670,264
000173.png,car,690,166,744,204
000173.png,car,827,176,905,234
000176.png,car,848,228,1241,370
000176.png,car,426,187,543,270
000176.png,car,622,185,659,205
000176.png,car,577,173,617,223
000177.png,truck,424,147,538,234
000178.png,car,891,206,1241,370
000178.png,car,763,182,1013,338
000178.png,car,683,178,776,240
000178.png,car,2,196,156,253
000178.png,car,269,205,317,236
000178.png,car,180,194,277,245
000179.png,car,591,175,656,236
000181.png,car,831,191,1241,374
000181.png,car,0,188,295,305
000181.png,car,682,173,769,227
000181.png,car,741,176,907,293
000181.png,car,241,182,410,255
000181.png,car,437,177,495,227
000181.png,car,369,178,458,242
000181.png,car,463,175,541,217
000182.png,car,78,204,382,372
000182.png,car,503,184,550,219
000182.png,car,356,172,475,279
000182.png,car,554,181,589,213
000184.png,car,446,184,498,215
000184.png,car,612,179,650,198
000186.png,car,0,205,194,374
000186.png,car,890,209,1241,372
000186.png,car,461,182,510,217
000186.png,car,339,183,403,211
000186.png,truck,544,154,599,201
000188.png,car,849,164,1033,277
000188.png,car,582,185,660,247
000188.png,car,658,183,692,207
000189.png,truck,0,96,259,362
000190.png,car,444,179,571,276
000196.png,car,543,196,584,234
000197.png,car,165,201,346,295
000197.png,car,335,193,426,255
000197.png,car,417,180,476,230
000197.png,car,702,178,797,254
000198.png,car,154,193,357,300
000198.png,car,347,178,431,239
000198.png,car,0,200,26,370
000200.png,car,795,185,1010,323
000200.png,car,600,178,662,236
000205.png,car,395,189,476,233
000206.png,truck,636,159,778,231
000206.png,car,1108,168,1158,196
000207.png,car,155,187,281,233
000207.png,car,384,182,424,206
000208.png,car,601,179,866,268
000208.png,car,0,198,242,373
000210.png,car,144,197,280,266
000210.png,car,266,181,359,246
000210.png,car,0,180,145,311
000210.png,car,378,183,460,220
000210.png,car,431,180,471,213
000211.png,car,0,190,297,370
000211.png,car,824,178,1241,372
000211.png,car,503,181,536,207
000212.png,car,0,195,148,365
000212.png,car,641,175,727,239
000213.png,car,911,237,1241,373
000213.png,car,0,203,173,358
000213.png,car,69,184,264,313
000213.png,car,717,186,839,276
000213.png,car,275,184,458,249
000213.png,car,672,181,722,223
000213.png,car,221,194,333,282
000213.png,car,644,170,682,203
000214.png,car,275,182,405,235
000214.png,car,372,182,439,221
000218.png,car,783,182,1082,346
000218.png,car,722,180,824,259
000218.png,car,310,194,392,261
000218.png,car,481,184,512,210
000219.png,car,564,179,618,226
000221.png,car,776,183,951,306
000221.png,car,600,179,663,235
000222.png,car,523,175,736,370
000222.png,car,342,179,447,218
000222.png,car,178,193,258,226
000223.png,car,1017,152,1241,370
000223.png,car,811,153,939,256
000226.png,car,0,212,386,372
000226.png,car,270,189,413,258
000226.png,car,757,186,1023,362
000228.png,car,421,165,522,203
000228.png,car,269,179,343,216
000228.png,car,580,173,631,199
000228.png,car,661,170,691,188
000230.png,car,397,182,437,204
000232.png,car,207,188,336,248
000236.png,car,82,177,283,279
000236.png,car,328,184,464,279
000236.png,car,577,176,620,211
000236.png,car,0,190,92,260
000236.png,car,482,180,541,225
000237.png,car,177,189,252,218
000237.png,car,434,181,464,202
000239.png,car,677,180,817,226
000240.png,car,567,175,610,213
000242.png,car,390,185,456,235
000242.png,car,637,169,725,225
000242.png,car,530,171,561,197
000243.png,car,496,166,574,232
000243.png,car,1197,137,1241,202
000243.png,car,595,170,681,248
000243.png,car,1071,137,1200,200
000244.png,car,728,199,981,366
000244.png,car,339,191,486,318
000244.png,car,981,253,1241,370
000244.png,car,0,191,413,372
000244.png,car,450,189,524,264
000244.png,car,690,184,779,268
000244.png,car,657,184,712,241
000245.png,car,887,145,1241,366
000245.png,car,0,206,220,337
000245.png,car,198,196,365,260
000247.png,car,272,188,313,218
000248.png,car,267,193,433,285
000248.png,car,433,188,498,238
000248.png,car,0,182,242,293
000248.png,car,576,181,609,209
000248.png,car,189,238,329,327
000248.png,car,247,172,297,224
000252.png,car,249,197,445,321
000252.png,car,409,183,480,219
000253.png,car,566,173,624,225
000253.png,car,333,191,436,248
000254.png,car,39,209,296,339
000254.png,car,273,199,383,282
000254.png,car,384,195,497,275
000254.png,car,1118,155,1241,258
000254.png,car,468,173,544,237
000254.png,car,635,179,688,211
000256.png,car,0,184,34,240
000257.png,car,694,165,740,200
000258.png,car,288,195,410,264
000258.png,car,401,181,473,244
000258.png,car,677,185,706,205
000258.png,car,704,182,764,227
000259.png,car,356,185,521,292
000259.png,car,490,178,551,225
000259.png,car,594,169,644,206
000259.png,car,558,167,596,200
000262.png,car,756,185,1023,352
000262.png,car,915,210,1241,372
000262.png,car,692,179,796,266
000262.png,car,457,171,541,238
000266.png,car,751,183,1014,341
000266.png,car,584,173,638,219
000266.png,car,155,204,296,304
000266.png,car,319,185,379,256
000267.png,car,582,179,682,261
000268.png,car,544,170,716,321
000268.png,car,0,185,61,275
000268.png,car,261,180,346,227
000269.png,car,302,189,396,248
000269.png,car,0,162,92,343
000270.png,car,337,185,408,224
000271.png,car,553,180,612,230
000272.png,car,601,171,638,201
000274.png,car,99,195,240,263
000274.png,car,585,200,664,259
000274.png,car,263,186,352,237
000274.png,car,436,196,507,252
000274.png,car,701,176,803,265
000276.png,car,588,178,630,217
000276.png,car,377,172,408,194
000276.png,car,436,177,515,239
000276.png,car,538,179,566,201
000279.png,car,448,164,550,247
000279.png,car,193,178,409,262
000279.png,car,609,168,644,193
000279.png,car,697,165,797,250
000280.png,car,267,193,328,219
000282.png,truck,66,206,412,374
000282.png,car,69,204,412,373
000283.png,car,158,190,360,265
000284.png,car,0,204,166,362
000284.png,car,141,191,366,284
000284.png,car,686,189,793,258
000284.png,car,642,181,707,227
000284.png,car,438,175,512,216
000284.png,car,354,178,462,235
000289.png,car,498,174,543,212
000292.png,car,597,174,664,238
000293.png,car,16,190,395,375
000296.png,car,0,202,191,323
000296.png,car,222,161,533,320
000296.png,car,684,164,738,209
000297.png,car,272,181,374,235
000297.png,truck,933,40,1241,373
000301.png,truck,0,0,411,369
000301.png,car,556,177,628,235
000301.png,car,393,191,491,267
000301.png,car,467,185,521,236
000302.png,car,401,176,502,218
000302.png,car,563,170,596,197
000309.png,car,840,182,1188,356
000309.png,car,795,159,936,271
000309.png,car,1078,273,1241,372
000310.png,car,793,178,1004,348
000310.png,car,620,182,778,282
000310.png,car,113,197,280,301
000310.png,car,547,176,634,244
000310.png,car,428,171,467,210
000310.png,car,245,183,318,255
000310.png,car,349,166,390,204
000310.png,car,308,186,346,232
000311.png,car,774,180,1208,371
000311.png,car,234,183,479,338
000311.png,car,716,188,828,289
000311.png,car,428,186,541,273
000311.png,car,663,180,718,221
000312.png,car,238,226,431,336
000312.png,car,395,195,494,269
000312.png,car,594,182,644,223
000312.png,truck,504,164,567,220
000314.png,car,0,212,139,328
000314.png,car,122,210,200,280
000314.png,car,192,207,237,238
000318.png,car,42,171,409,374
000318.png,car,532,193,588,230
000318.png,car,400,182,508,287
000318.png,car,625,187,663,216
000319.png,car,236,191,348,251
000319.png,car,596,175,625,201
000322.png,car,0,213,284,370
000325.png,car,308,186,444,281
000325.png,car,3,179,107,226
000325.png,car,507,183,550,211
000325.png,car,577,181,626,225
000325.png,car,108,186,196,217
000325.png,car,195,184,263,210
000326.png,car,919,180,1241,371
000326.png,car,688,185,807,258
000330.png,car,732,181,930,300
000330.png,car,662,179,713,217
000330.png,car,0,209,151,278
000330.png,car,707,182,778,256
000332.png,car,554,180,595,216
000333.png,car,0,224,286,364
000333.png,car,0,185,115,233
000333.png,car,506,171,590,209
000334.png,car,693,182,724,200
000338.png,car,835,181,1223,367
000338.png,car,48,169,215,245
000338.png,car,453,175,492,195
000338.png,car,697,175,766,240
000339.png,car,0,219,127,374
000339.png,car,727,174,960,325
000339.png,car,92,177,329,326
000339.png,car,318,193,395,264
000339.png,car,369,186,429,239
000339.png,car,667,178,761,272
000340.png,car,4,207,198,325
000340.png,car,183,206,264,273
000341.png,car,810,138,1215,371
000343.png,car,870,162,1048,268
000343.png,car,607,182,685,242
000343.png,car,685,172,723,202
000344.png,car,566,171,622,222
000344.png,car,296,182,411,254
000344.png,car,1103,163,1239,199
000345.png,car,572,178,622,220
000345.png,car,351,190,441,297
000346.png,car,123,185,342,309
000346.png,car,0,167,151,366
000346.png,car,939,205,1241,370
000346.png,car,727,175,816,215
000346.png,car,608,174,662,201
000348.png,car,792,217,1241,371
000348.png,car,723,187,899,301
000348.png,car,686,188,751,236
000348.png,car,550,182,579,203
000350.png,car,146,211,362,350
000350.png,car,0,209,167,374
000350.png,car,337,195,444,285
000350.png,car,538,187,574,211
000350.png,car,727,180,838,257
000350.png,car,598,183,625,199
000350.png,car,691,182,720,215
000351.png,car,94,194,273,273
000351.png,car,245,180,322,226
000351.png,car,574,182,621,218
000351.png,car,0,153,76,315
000351.png,car,449,181,500,220
000352.png,car,770,176,1070,355
000352.png,car,716,178,816,264
000352.png,car,310,198,427,280
000352.png,car,419,183,479,249
000352.png,car,670,179,730,229
000352.png,car,470,181,524,233
000353.png,car,0,179,269,344
000353.png,car,267,159,391,235
000355.png,car,406,168,455,206
000356.png,car,638,182,745,258
000356.png,truck,0,136,368,373
000356.png,car,408,185,471,233
000357.png,car,153,188,383,312
000357.png,car,0,192,93,304
000357.png,car,396,184,481,242
000357.png,car,58,179,191,248
000357.png,car,573,176,611,210
000359.png,car,302,174,368,218
000360.png,car,784,184,924,244
000360.png,car,264,185,318,212
000360.png,car,338,180,391,208
000363.png,car,494,178,543,214
000363.png,car,587,177,630,214
000363.png,car,548,179,572,198
000366.png,car,525,180,558,204
000366.png,car,889,150,1014,194
000372.png,car,0,197,161,262
000372.png,car,364,182,409,209
000377.png,car,772,175,1125,368
000377.png,car,190,169,409,266
000377.png,truck,701,92,874,258
000377.png,car,546,176,576,194
000379.png,car,0,195,107,258
000379.png,car,424,181,455,199
000379.png,car,340,187,383,210
000380.png,car,599,184,675,248
000380.png,car,1094,175,1234,222
000380.png,car,652,171,697,212
000380.png,car,369,184,408,217
000382.png,car,859,164,1097,260
000382.png,car,1139,164,1241,261
000382.png,car,624,158,715,224
000383.png,car,0,207,344,368
000385.png,car,751,202,1012,357
000385.png,car,506,183,565,225
000385.png,car,663,182,745,238
000385.png,car,559,182,584,207
000385.png,car,647,178,678,206
000386.png,car,0,180,407,374
000386.png,car,317,178,398,233
000386.png,car,424,184,505,243
000386.png,car,567,178,613,215
000386.png,car,502,184,542,217
000386.png,car,391,183,436,218
000391.png,truck,351,110,503,259
000391.png,car,576,178,617,212
000391.png,car,240,186,334,251
000391.png,car,494,171,545,218
000391.png,truck,0,97,252,327
000392.png,car,26,185,341,284
000392.png,car,793,187,1058,354
000392.png,car,731,179,857,276
000392.png,car,0,282,81,373
000392.png,car,398,179,476,234
000392.png,car,299,183,440,245
000392.png,car,680,177,759,223
000393.png,car,696,181,827,269
000393.png,car,0,195,361,346
000393.png,car,240,179,401,252
000393.png,car,652,165,713,216
000395.png,car,786,197,1088,372
000395.png,car,130,183,346,284
000395.png,car,0,186,221,370
000395.png,car,0,293,58,372
000395.png,truck,627,160,689,217
000395.png,car,797,185,910,253
000395.png,car,295,171,449,259
000395.png,car,440,182,500,216
000395.png,car,721,178,841,232
000395.png,car,487,179,526,209
000397.png,car,881,239,1241,373
000397.png,car,655,175,736,237
000397.png,car,387,174,472,230
000400.png,truck,761,104,921,226
000400.png,car,887,170,1241,373
000400.png,car,682,177,763,232
000400.png,car,640,178,681,207
000402.png,car,388,188,503,261
000402.png,car,528,169,563,198
000402.png,car,468,172,525,224
000403.png,car,0,255,170,370
000403.png,car,437,185,517,247
000403.png,car,653,169,726,243
000406.png,car,597,172,663,233
000408.png,car,726,180,888,313
000408.png,car,187,169,391,243
000408.png,car,466,173,545,232
000408.png,car,533,175,565,213
000408.png,car,633,167,663,196
000410.png,car,120,170,202,208
000410.png,car,573,173,627,220
000413.png,car,94,181,277,277
000413.png,car,576,180,615,212
000413.png,car,358,183,431,223
000414.png,car,436,179,655,263
000415.png,car,800,198,1136,373
000415.png,car,0,198,303,373
000415.png,car,742,184,871,283
000415.png,car,663,176,752,242
000415.png,car,254,178,352,232
000415.png,car,441,180,509,224
000417.png,car,1093,154,1131,182
000418.png,car,354,176,464,219
000419.png,car,668,173,712,211
000423.png,car,0,178,253,339
000423.png,car,784,199,1091,371
000423.png,car,457,185,550,256
000423.png,car,275,181,407,250
000423.png,car,584,172,640,217
000423.png,car,649,173,691,208
000425.png,car,181,181,341,256
000425.png,car,21,197,211,300
000426.png,truck,791,99,998,313
000426.png,car,173,173,253,230
000428.png,car,544,162,583,201
000429.png,car,919,204,1241,373
000429.png,car,131,196,377,328
000429.png,car,785,183,968,296
000429.png,car,350,190,458,261
000429.png,car,435,187,493,236
000429.png,car,510,180,555,207
000429.png,car,722,180,816,251
000429.png,car,682,174,731,219
000430.png,car,0,211,169,328
000430.png,car,154,208,235,276
000430.png,car,1070,115,1142,176
000431.png,car,253,186,456,302
000431.png,car,118,192,179,233
000433.png,car,570,175,620,220
000433.png,car,115,159,185,196
000435.png,car,399,188,561,300
000435.png,car,326,191,437,271
000436.png,car,767,191,1163,373
000436.png,car,0,211,347,374
000436.png,car,229,191,490,344
000436.png,car,660,180,729,232
000436.png,car,533,178,578,212
000438.png,car,412,187,489,232
000442.png,car,0,175,473,357
000442.png,car,1074,189,1241,329
000442.png,car,638,178,756,245
000442.png,car,1004,174,1094,240
000442.png,car,774,169,830,212
000442.png,car,595,171,629,191
000443.png,car,295,194,481,324
000443.png,car,680,180,803,255
000443.png,car,511,180,557,219
000443.png,car,414,183,512,253
000445.png,car,71,191,302,329
000445.png,car,0,187,101,372
000445.png,car,280,178,412,242
000445.png,car,430,192,534,262
000445.png,car,589,174,647,224
000445.png,car,736,182,812,272
000445.png,truck,913,90,1110,371
000445.png,truck,0,143,138,228
000445.png,car,681,174,752,231
000445.png,car,694,184,757,252
000446.png,car,279,190,453,294
000447.png,car,574,174,627,222
000447.png,car,104,170,187,210
000448.png,car,930,148,1046,197
000449.png,car,566,173,629,229
000449.png,car,0,173,74,220
000449.png,car,99,176,175,211
000450.png,car,768,186,883,249
000450.png,car,504,142,548,183
000451.png,truck,397,163,465,227
000453.png,car,0,223,287,365
000454.png,car,448,173,490,199
000455.png,car,0,183,305,322
000455.png,car,704,190,803,262
000455.png,car,411,179,494,231
000455.png,car,552,169,586,202
000455.png,car,359,174,438,245
000455.png,car,672,179,720,223
000456.png,car,433,185,522,258
000459.png,car,0,195,336,373
000459.png,car,480,181,529,211
000460.png,car,857,172,1154,274
000462.png,car,967,176,1241,369
000462.png,car,0,180,172,275
000462.png,car,816,177,1005,295
000462.png,car,561,176,655,262
000462.png,car,744,163,905,257
000462.png,car,150,170,262,236
000464.png,truck,0,55,218,372
000464.png,car,231,208,440,308
000464.png,car,1149,176,1241,211
000470.png,car,121,190,310,259
000470.png,car,286,180,388,234
000470.png,car,391,172,447,215
000471.png,car,395,182,446,215
000473.png,car,588,170,624,201
000475.png,car,780,182,1020,320
000475.png,car,0,224,104,372
000475.png,car,712,178,811,257
000475.png,car,231,193,409,277
000475.png,car,672,174,737,221
000475.png,car,443,173,512,217
000479.png,car,139,189,244,226
000479.png,car,365,180,406,201
000480.png,car,382,182,416,203
000480.png,car,336,175,382,208
000480.png,car,200,192,282,224
000481.png,car,147,189,253,232
000481.png,car,344,180,395,211
000482.png,car,930,182,1102,264
000482.png,car,742,184,857,261
000482.png,car,646,175,668,189
000483.png,car,823,174,1052,302
000483.png,car,31,190,326,319
000483.png,car,612,176,684,240
000483.png,car,1,186,155,263
000483.png,car,520,168,569,209
000485.png,car,307,202,499,323
000485.png,car,665,197,743,252
000485.png,car,535,192,575,219
000485.png,car,634,190,684,229
000486.png,car,947,203,1241,369
000486.png,car,729,180,888,282
000486.png,car,319,190,427,258
000486.png,car,0,203,60,250
000486.png,car,694,180,782,237
000488.png,car,0,153,434,375
000488.png,car,676,179,837,238
000488.png,car,420,189,502,277
000488.png,car,485,185,538,238
000488.png,car,631,178,692,217
000488.png,car,0,216,66,283
000489.png,car,192,191,285,234
000490.png,car,202,187,344,235
000490.png,car,0,170,133,234
000490.png,car,534,175,576,200
000490.png,car,379,179,471,208
000492.png,car,45,177,416,372
000492.png,car,0,196,82,311
000492.png,car,454,179,531,240
000492.png,car,559,181,613,224
000493.png,car,829,188,1105,368
000493.png,car,567,182,620,223
000493.png,car,796,199,869,281
000493.png,car,621,182,659,206
000493.png,car,723,180,768,209
000494.png,car,275,191,374,243
000494.png,car,0,200,192,322
000494.png,car,567,182,611,222
000495.png,car,0,223,286,365
000495.png,car,856,161,983,209
000497.png,car,785,181,971,298
000497.png,car,185,166,413,319
000497.png,car,987,222,1241,371
000497.png,car,435,176,545,249
000497.png,car,762,175,829,257
000497.png,car,732,157,785,184
000497.png,car,626,167,686,213
000500.png,car,1084,188,1241,371
000500.png,car,840,162,1105,341
000500.png,car,771,177,867,274
000500.png,car,590,172,638,216
000500.png,car,460,180,497,211
000500.png,car,703,176,745,223
000500.png,car,734,170,796,250
000500.png,car,655,171,697,205
000501.png,car,227,195,378,303
000504.png,car,820,176,1045,271
000504.png,car,0,204,42,245
000505.png,car,1077,173,1223,359
000506.png,truck,0,170,211,294
000506.png,car,0,171,212,293
000506.png,car,577,177,606,201
000507.png,car,1,203,449,375
000510.png,car,1,214,267,346
000510.png,car,887,169,1031,250
000510.png,car,651,179,734,252
000510.png,car,1146,266,1241,372
000512.png,car,355,185,409,218
000515.png,car,155,177,319,266
000515.png,car,358,184,474,271
000515.png,car,575,177,620,213
000515.png,car,0,196,123,299
000515.png,car,482,182,542,228
000515.png,car,25,188,162,242
000515.png,car,312,184,380,235
000516.png,car,0,172,111,220
000516.png,car,144,189,181,207
000516.png,car,181,179,246,206
000516.png,car,573,175,613,212
000522.png,car,1147,203,1241,371
000522.png,car,565,179,668,276
000524.png,car,389,185,439,220
000524.png,car,0,204,26,286
000526.png,car,545,173,573,195
000528.png,car,940,212,1241,371
000528.png,car,554,185,597,220
000528.png,car,482,178,557,233
000528.png,car,626,182,659,208
000529.png,car,342,175,455,225
000529.png,car,190,192,328,260
000529.png,car,452,183,514,208
000535.png,car,1059,186,1153,222
000539.png,car,0,200,34,239
000540.png,car,581,176,639,226
000540.png,car,49,188,225,269
000540.png,truck,721,101,931,288
000540.png,car,283,183,420,256
000540.png,car,499,180,565,231
000540.png,car,401,182,463,243
000542.png,car,363,187,480,267
000542.png,car,535,179,562,202
000542.png,car,295,181,343,205
000543.png,car,0,199,170,315
000543.png,car,354,191,455,255
000545.png,car,1013,175,1241,249
000545.png,car,683,197,748,232
000546.png,car,1048,196,1215,321
000552.png,car,718,164,855,261
000553.png,car,0,193,200,337
000553.png,car,752,206,1059,372
000553.png,car,136,222,461,373
000553.png,car,943,238,1241,370
000553.png,car,698,184,814,277
000553.png,car,564,183,622,231
000553.png,car,370,192,493,287
000553.png,car,522,181,560,211
000553.png,car,200,188,279,223
000554.png,car,666,176,765,249
000554.png,car,223,182,374,262
000554.png,car,352,168,467,228
000554.png,car,439,174,500,219
000556.png,car,523,181,562,212
000556.png,car,419,185,492,215
000558.png,car,0,185,328,358
000558.png,car,306,181,377,228
000558.png,car,359,190,466,254
000558.png,car,573,176,612,209
000562.png,car,182,194,433,349
000562.png,car,528,179,564,204
000562.png,car,588,177,632,214
000564.png,car,248,195,500,357
000564.png,car,547,180,608,223
