Image,Class,X_min,Y_min,X_max,Y_max
000089.png,car,324,200,498,303
000089.png,car,657,178,714,225
000089.png,car,462,187,535,242
000089.png,car,633,172,665,204
000090.png,car,7,203,125,266
000091.png,car,281,180,341,218
000092.png,car,366,189,452,239
000092.png,car,437,175,494,227
000092.png,car,686,176,734,211
000092.png,car,656,179,686,199
000093.png,car,0,190,317,374
000093.png,car,300,199,421,292
000093.png,car,392,185,476,255
000093.png,car,729,171,806,234
000093.png,car,694,172,723,206
000093.png,car,551,180,582,202
000095.png,car,781,174,958,272
000095.png,car,147,198,333,287
000095.png,car,596,181,667,243
000095.png,car,73,183,200,243
000096.png,car,794,188,1162,332
000096.png,car,502,182,556,217
000096.png,car,658,163,908,295
000096.png,car,285,179,368,243
000096.png,car,380,179,410,207
000098.png,car,660,184,725,236
000098.png,car,343,191,422,240
000098.png,car,204,191,358,281
000099.png,car,0,200,323,373
000099.png,car,858,191,1241,374
000099.png,car,773,183,888,271
000099.png,car,317,174,467,281
000099.png,car,477,178,568,239
000099.png,car,750,178,797,247
000101.png,car,110,198,218,249
000101.png,car,0,208,105,259
000101.png,car,567,177,637,238
000102.png,car,1157,181,1241,257
000102.png,car,1155,180,1207,210
000104.png,car,364,181,529,261
000104.png,car,817,182,881,238
000104.png,car,683,183,725,211
000104.png,car,606,193,657,221
000106.png,car,0,199,196,291
000106.png,car,446,182,480,203
000107.png,car,826,189,1242,372
000107.png,car,688,178,768,251
000107.png,car,733,184,906,310
000108.png,car,564,174,678,273
000110.png,car,887,152,1242,303
000110.png,car,350,181,436,248
000110.png,car,817,144,955,195
000110.png,car,430,173,534,246
000110.png,car,956,140,1035,180
000110.png,car,598,173,631,199
000111.png,car,741,171,912,253
000111.png,car,588,171,638,216
000111.png,car,685,173,754,222
000111.png,car,383,175,456,225
000112.png,car,0,184,184,332
000112.png,car,122,164,331,297
000112.png,car,384,176,457,227
000112.png,truck,1072,152,1241,273
000112.png,car,336,176,435,243
000112.png,car,0,245,64,361
000113.png,car,929,151,1240,366
000113.png,car,27,189,156,237
000113.png,car,696,173,780,213
000113.png,car,215,169,308,231
000113.png,truck,216,169,308,230
000113.png,car,314,184,383,228
000113.png,car,775,169,827,209
000114.png,car,589,185,667,252
000114.png,car,192,182,297,237
000114.png,car,459,180,522,226
000114.png,car,504,180,546,210
000116.png,car,687,173,757,229
000116.png,car,795,161,1116,350
000116.png,car,563,178,603,212
000117.png,car,786,185,1092,300
000117.png,car,1,187,276,285
000117.png,car,220,167,327,239
000117.png,car,743,188,840,267
000117.png,car,1109,192,1158,222
000119.png,car,497,180,579,252
000119.png,car,386,188,475,252
000120.png,car,76,205,389,368
000120.png,car,816,170,987,262
000120.png,car,370,186,483,278
000120.png,car,667,182,722,226
000120.png,car,0,257,87,373
000120.png,car,473,191,525,243
000120.png,car,744,177,779,208
000121.png,car,720,168,754,196
000121.png,car,635,171,683,203
000121.png,car,346,181,412,220
000121.png,car,486,178,524,206
000121.png,car,689,170,714,187
000125.png,car,523,175,736,370
000125.png,car,212,191,306,224
000125.png,car,330,186,389,216
000125.png,car,76,201,143,231
000125.png,car,96,201,142,229
000126.png,car,322,192,436,265
000126.png,car,0,201,80,341
000127.png,car,754,181,901,267
000127.png,car,382,179,437,202
000128.png,car,4,186,187,262
000128.png,car,397,183,427,200
000129.png,car,53,187,257,286
000129.png,car,303,189,393,235
000129.png,car,390,178,449,220
000129.png,car,499,180,544,203
000131.png,car,209,181,325,239
000131.png,car,440,175,527,217
000131.png,car,567,170,629,203
000134.png,car,336,182,484,285
000134.png,car,473,169,498,191
000135.png,car,369,193,450,245
000135.png,car,1054,134,1163,179
000135.png,car,432,189,481,230
000135.png,car,470,182,514,215
000135.png,car,0,206,115,251
000136.png,car,0,215,364,374
000136.png,car,690,167,721,191
000136.png,car,950,168,1024,220
000136.png,car,644,165,696,204
000137.png,car,320,188,375,214
000138.png,car,380,183,489,250
000138.png,car,36,183,137,223
000138.png,car,583,174,621,209
000138.png,car,268,179,305,199
000139.png,truck,132,175,261,252
000139.png,car,592,175,622,202
000140.png,truck,449,155,532,233
000140.png,car,712,162,823,246
000140.png,car,548,170,601,211
000141.png,car,407,185,527,259
000142.png,car,245,187,394,289
000142.png,car,839,181,1241,375
000142.png,car,368,176,451,244
000142.png,car,727,166,903,294
000142.png,car,442,178,496,222
000142.png,car,684,159,774,243
000142.png,car,0,206,268,357
000142.png,car,527,170,559,195
000143.png,car,122,203,176,225
000144.png,car,922,201,1241,369
000144.png,car,0,207,273,373
000144.png,car,472,172,523,219
000146.png,car,882,192,1241,371
000146.png,car,212,200,461,364
000146.png,car,661,182,727,231
000146.png,car,0,246,334,372
000146.png,car,571,180,629,224
000146.png,car,369,177,467,233
000146.png,car,522,178,571,215
000146.png,car,623,174,654,199
000146.png,car,489,180,527,205
000146.png,car,455,174,491,210
000147.png,car,709,163,827,256
000149.png,car,744,187,932,300
000149.png,car,688,180,799,262
000149.png,car,513,179,555,215
000150.png,car,564,174,617,225
000150.png,car,530,179,558,199
000151.png,car,0,223,287,365
000151.png,car,849,163,991,216
000152.png,car,50,198,435,372
000152.png,car,755,152,1108,373
000152.png,car,666,188,738,250
000152.png,car,463,186,534,240
000152.png,car,532,184,565,204
000153.png,car,671,160,703,192
000154.png,car,97,178,310,272
000154.png,car,831,161,935,203
000154.png,car,577,173,661,212
000155.png,car,157,190,243,244
000155.png,car,709,181,754,210
000155.png,car,238,195,278,231
000156.png,car,0,126,137,283
000157.png,car,1198,203,1241,334
000157.png,car,657,179,877,257
000157.png,car,587,182,693,245
000157.png,car,327,196,401,237
000157.png,truck,895,135,1201,310
000157.png,car,213,197,285,243
000159.png,car,0,214,254,373
000159.png,car,220,188,396,310
000159.png,car,724,175,764,229
000159.png,car,746,165,886,258
000159.png,car,687,170,729,207
000159.png,car,525,173,573,202
000159.png,car,590,172,615,187
000160.png,car,491,184,544,225
000160.png,car,589,182,630,218
000161.png,car,178,202,365,301
000161.png,car,347,197,426,258
000161.png,car,807,157,943,203
000161.png,car,405,193,460,242
000161.png,car,449,191,490,226
000162.png,car,570,175,632,230
000162.png,car,134,173,205,210
000162.png,car,2,175,116,217
000162.png,car,43,175,117,218
000163.png,car,335,167,443,245
000163.png,car,446,168,506,207
000164.png,car,551,175,615,232
000164.png,car,365,171,402,188
000165.png,car,0,206,126,371
000165.png,car,579,177,635,220
000165.png,car,389,165,464,245
000165.png,car,11,142,362,350
000165.png,car,438,164,483,219
000165.png,car,536,172,564,193
000166.png,car,568,167,615,213
000168.png,car,835,190,916,224
000168.png,car,956,191,1045,226
000168.png,car,552,182,601,220
000168.png,car,501,182,536,209
000169.png,car,781,179,1113,373
000169.png,car,0,193,262,344
000169.png,car,0,257,117,373
000169.png,car,678,180,748,239
000169.png,car,419,179,489,224
000169.png,car,738,177,830,229
000169.png,car,278,195,337,265
000169.png,car,451,182,489,223
000169.png,car,294,191,430,257
000169.png,car,345,179,464,240
000170.png,car,744,173,794,213
000171.png,car,117,204,221,262
000171.png,car,50,217,157,270
000171.png,car,0,219,55,260
000171.png,car,566,185,646,257
000171.png,car,216,201,273,238
000172.png,car,829,189,1241,372
000172.png,car,721,179,886,299
000172.png,car,3,192,244,300
000172.png,car,261,181,370,240
000172.png,car,583,171,622,199
000172.png,car,329,180,375,234
000173.png,car,243,179,562,371
000173.png,car,914,212,1241,372
000173.png,car,0,225,284,372
000173.png,car,550,176,670,264
000173.png,car,690,166,744,204
000173.png,car,827,176,905,234
000174.png,car,918,179,964,209
000174.png,car,987,186,1088,264
000174.png,car,1079,177,1123,208
000175.png,car,469,190,509,220
000176.png,car,848,228,1241,370
000176.png,car,426,187,543,270
000176.png,car,622,185,659,205
000176.png,car,577,173,617,223
000177.png,truck,424,147,538,234
000178.png,car,891,206,1241,370
000178.png,car,763,182,1013,338
000178.png,car,683,178,776,240
000178.png,car,2,196,156,253
000178.png,car,269,205,317,236
000178.png,car,180,194,277,245
000179.png,car,591,175,656,236
000181.png,car,831,191,1241,374
000181.png,car,0,188,295,305
000181.png,car,682,173,769,227
000181.png,car,741,176,907,293
000181.png,car,241,182,410,255
000181.png,car,437,177,495,227
000181.png,car,369,178,458,242
000181.png,car,463,175,541,217
000182.png,car,78,204,382,372
000182.png,car,503,184,550,219
000182.png,car,356,172,475,279
000182.png,car,554,181,589,213
000183.png,car,888,194,1241,372
000183.png,truck,733,25,1030,297
000183.png,car,550,179,586,199
000183.png,car,48,173,362,307
000184.png,car,446,184,498,215
000184.png,car,612,179,650,198
000185.png,car,0,230,245,370
000185.png,car,203,165,445,356
000185.png,car,631,183,668,210
000185.png,car,544,196,591,224
000185.png,truck,437,176,526,271
000186.png,car,0,205,194,374
000186.png,car,890,209,1241,372
000186.png,car,461,182,510,217
000186.png,car,339,183,403,211
000186.png,truck,544,154,599,201
000188.png,car,849,164,1033,277
000188.png,car,582,185,660,247
000188.png,car,658,183,692,207
000189.png,truck,0,96,259,362
000190.png,car,444,179,571,276
000191.png,car,379,191,499,266
000191.png,car,240,189,357,254
000191.png,car,0,194,113,265
000191.png,car,206,192,256,230
000191.png,car,577,179,613,212
000192.png,car,0,192,160,320
000192.png,truck,240,108,460,280
000192.png,car,127,183,245,262
000192.png,car,571,182,604,208
000192.png,car,454,186,511,230
000194.png,car,492,182,573,234
000194.png,car,582,174,620,203
000196.png,car,543,196,584,234
000197.png,car,165,201,346,295
000197.png,car,335,193,426,255
000197.png,car,417,180,476,230
000197.png,car,702,178,797,254
000198.png,car,154,193,357,300
000198.png,car,347,178,431,239
000198.png,car,0,200,26,370
000200.png,car,795,185,1010,323
000200.png,car,600,178,662,236
000201.png,car,807,186,1239,372
000201.png,car,665,179,777,256
000201.png,car,559,179,604,211
000201.png,car,329,187,418,248
000204.png,car,195,193,285,236
000204.png,car,596,173,629,203
000205.png,car,395,189,476,233
000206.png,truck,636,159,778,231
000206.png,car,1108,168,1158,196
000207.png,car,155,187,281,233
000207.png,car,384,182,424,206
000208.png,car,601,179,866,268
000208.png,car,0,198,242,373
000210.png,car,144,197,280,266
000210.png,car,266,181,359,246
000210.png,car,0,180,145,311
000210.png,car,378,183,460,220
000210.png,car,431,180,471,213
000211.png,car,0,190,297,370
000211.png,car,824,178,1241,372
000211.png,car,503,181,536,207
000212.png,car,0,195,148,365
000212.png,car,641,175,727,239
000213.png,car,911,237,1241,373
000213.png,car,0,203,173,358
000213.png,car,69,184,264,313
000213.png,car,717,186,839,276
000213.png,car,275,184,458,249
000213.png,car,672,181,722,223
000213.png,car,221,194,333,282
000213.png,car,644,170,682,203
000214.png,car,275,182,405,235
000214.png,car,372,182,439,221
000215.png,car,209,191,584,313
000215.png,car,947,199,995,294
000216.png,car,77,197,273,281
000216.png,car,564,180,608,220
000216.png,car,298,185,385,240
000217.png,car,0,206,344,375
000217.png,car,329,193,458,277
000218.png,car,783,182,1082,346
000218.png,car,722,180,824,259
000218.png,car,310,194,392,261
000218.png,car,481,184,512,210
000219.png,car,564,179,618,226
000221.png,car,776,183,951,306
000221.png,car,600,179,663,235
000222.png,car,523,175,736,370
000222.png,car,342,179,447,218
000222.png,car,178,193,258,226
000223.png,car,1017,152,1241,370
000223.png,car,811,153,939,256
000225.png,truck,493,145,556,212
000225.png,car,586,175,620,212
000225.png,car,376,180,406,197
000226.png,car,0,212,386,372
000226.png,car,270,189,413,258
000226.png,car,757,186,1023,362
000227.png,car,786,181,907,247
000227.png,car,894,181,961,232
000227.png,car,952,179,1007,218
000228.png,car,421,165,522,203
000228.png,car,269,179,343,216
000228.png,car,580,173,631,199
000228.png,car,661,170,691,188
000229.png,car,581,174,608,201
000230.png,car,397,182,437,204
000231.png,car,135,180,244,237
000231.png,car,560,182,617,229
000231.png,car,505,180,547,213
000231.png,car,832,181,879,201
000231.png,car,310,183,354,210
000232.png,car,207,188,336,248
000233.png,car,531,182,571,210
000234.png,car,277,196,457,296
000234.png,car,63,208,290,314
000234.png,car,638,177,684,213
000234.png,car,419,186,501,244
000235.png,car,56,198,256,286
000235.png,car,403,182,444,213
000236.png,car,82,177,283,279
000236.png,car,328,184,464,279
000236.png,car,577,176,620,211
000236.png,car,0,190,92,260
000236.png,car,482,180,541,225
000237.png,car,177,189,252,218
000237.png,car,434,181,464,202
000238.png,car,0,178,44,218
000238.png,car,572,169,614,209
000239.png,car,677,180,817,226
000240.png,car,567,175,610,213
000242.png,car,390,185,456,235
000242.png,car,637,169,725,225
000242.png,car,530,171,561,197
000243.png,car,496,166,574,232
000243.png,car,1197,137,1241,202
000243.png,car,595,170,681,248
000243.png,car,1071,137,1200,200
000244.png,car,728,199,981,366
000244.png,car,339,191,486,318
000244.png,car,981,253,1241,370
000244.png,car,0,191,413,372
000244.png,car,450,189,524,264
000244.png,car,690,184,779,268
000244.png,car,657,184,712,241
000245.png,car,887,145,1241,366
000245.png,car,0,206,220,337
000245.png,car,198,196,365,260
000246.png,car,1,222,269,374
000246.png,truck,411,134,516,240
000246.png,truck,173,134,377,263
000246.png,car,569,178,610,210
000246.png,car,358,183,406,229
000247.png,car,272,188,313,218
000248.png,car,267,193,433,285
000248.png,car,433,188,498,238
000248.png,car,0,182,242,293
000248.png,car,576,181,609,209
000248.png,car,189,238,329,327
000248.png,car,247,172,297,224
000249.png,car,124,182,423,366
000249.png,car,380,191,464,260
000249.png,car,0,225,85,317
000249.png,car,558,177,603,212
000249.png,car,93,178,199,241
000250.png,car,32,198,252,331
000250.png,car,248,196,335,265
000250.png,car,434,183,468,203
000252.png,car,249,197,445,321
000252.png,car,409,183,480,219
000253.png,car,566,173,624,225
000253.png,car,333,191,436,248
000254.png,car,39,209,296,339
000254.png,car,273,199,383,282
000254.png,car,384,195,497,275
000254.png,car,1118,155,1241,258
000254.png,car,468,173,544,237
000254.png,car,635,179,688,211
000255.png,car,194,197,438,337
000255.png,car,536,182,571,206
000256.png,car,0,184,34,240
000257.png,car,694,165,740,200
000258.png,car,288,195,410,264
000258.png,car,401,181,473,244
000258.png,car,677,185,706,205
000258.png,car,704,182,764,227
000259.png,car,356,185,521,292
000259.png,car,490,178,551,225
000259.png,car,594,169,644,206
000259.png,car,558,167,596,200
000261.png,car,278,179,335,203
000262.png,car,756,185,1023,352
000262.png,car,915,210,1241,372
000262.png,car,692,179,796,266
000262.png,car,457,171,541,238
000264.png,car,820,185,1241,372
000264.png,car,656,181,715,227
000264.png,car,1,210,399,371
000264.png,car,567,178,625,227
000264.png,car,304,198,476,324
000264.png,car,524,178,567,212
000264.png,car,616,175,647,200
000264.png,car,489,180,528,203
000266.png,car,751,183,1014,341
000266.png,car,584,173,638,219
000266.png,car,155,204,296,304
000266.png,car,319,185,379,256
000267.png,car,582,179,682,261
000268.png,car,544,170,716,321
000268.png,car,0,185,61,275
000268.png,car,261,180,346,227
000269.png,car,302,189,396,248
000269.png,car,0,162,92,343
000270.png,car,337,185,408,224
000271.png,car,553,180,612,230
000272.png,car,601,171,638,201
000274.png,car,99,195,240,263
000274.png,car,585,200,664,259
000274.png,car,263,186,352,237
000274.png,car,436,196,507,252
000274.png,car,701,176,803,265
000275.png,car,982,178,1241,370
000275.png,car,811,156,1069,299
000275.png,car,0,166,178,261
000275.png,car,775,175,840,245
000275.png,car,560,168,666,268
000276.png,car,588,178,630,217
000276.png,car,377,172,408,194
000276.png,car,436,177,515,239
000276.png,car,538,179,566,201
000278.png,car,548,184,575,204
000279.png,car,448,164,550,247
000279.png,car,193,178,409,262
000279.png,car,609,168,644,193
000279.png,car,697,165,797,250
000280.png,car,267,193,328,219
000282.png,truck,66,206,412,374
000282.png,car,69,204,412,373
000283.png,car,158,190,360,265
000284.png,car,0,204,166,362
000284.png,car,141,191,366,284
000284.png,car,686,189,793,258
000284.png,car,642,181,707,227
000284.png,car,438,175,512,216
000284.png,car,354,178,462,235
000285.png,car,841,171,1067,307
000285.png,car,353,184,446,242
000285.png,car,591,180,659,241
000285.png,car,191,188,304,245
000285.png,car,678,180,720,219
000286.png,car,760,184,1090,371
000286.png,car,956,246,1241,374
000286.png,car,411,186,515,261
000286.png,car,246,189,289,208
000286.png,car,659,178,732,234
000289.png,car,498,174,543,212
000291.png,car,484,178,554,222
000291.png,car,617,179,660,212
000292.png,car,597,174,664,238
000293.png,car,16,190,395,375
000295.png,car,288,190,416,285
000295.png,car,543,174,567,190
000296.png,car,0,202,191,323
000296.png,car,222,161,533,320
000296.png,car,684,164,738,209
000297.png,car,272,181,374,235
000297.png,truck,933,40,1241,373
000301.png,truck,0,0,411,369
000301.png,car,556,177,628,235
000301.png,car,393,191,491,267
000301.png,car,467,185,521,236
000302.png,car,401,176,502,218
000302.png,car,563,170,596,197
000303.png,car,565,183,658,270
000305.png,car,299,173,435,229
000305.png,car,551,170,589,202
000306.png,car,552,178,617,237
000309.png,car,840,182,1188,356
000309.png,car,795,159,936,271
000309.png,car,1078,273,1241,372
000310.png,car,793,178,1004,348
000310.png,car,620,182,778,282
000310.png,car,113,197,280,301
000310.png,car,547,176,634,244
000310.png,car,428,171,467,210
000310.png,car,245,183,318,255
000310.png,car,349,166,390,204
000310.png,car,308,186,346,232
000311.png,car,774,180,1208,371
000311.png,car,234,183,479,338
000311.png,car,716,188,828,289
000311.png,car,428,186,541,273
000311.png,car,663,180,718,221
000312.png,car,238,226,431,336
000312.png,car,395,195,494,269
000312.png,car,594,182,644,223
000312.png,truck,504,164,567,220
000313.png,car,280,185,389,229
000314.png,car,0,212,139,328
000314.png,car,122,210,200,280
000314.png,car,192,207,237,238
000315.png,car,313,193,510,315
000315.png,car,722,186,857,290
000316.png,car,818,195,1238,373
000316.png,car,717,180,893,306
000316.png,car,469,185,532,234
000316.png,car,271,185,317,206
000318.png,car,42,171,409,374
000318.png,car,532,193,588,230
000318.png,car,400,182,508,287
000318.png,car,625,187,663,216
000319.png,car,236,191,348,251
000319.png,car,596,175,625,201
000320.png,car,231,169,429,285
000320.png,car,427,181,520,242
000320.png,car,563,180,606,211
000320.png,car,650,171,690,193
000321.png,car,154,192,426,370
000321.png,car,447,185,520,232
000321.png,car,531,168,559,193
000322.png,car,0,213,284,370
000323.png,car,5,214,313,353
000323.png,car,963,159,1128,250
000323.png,car,707,174,795,250
000323.png,car,932,164,994,226
000323.png,car,0,234,68,349
000325.png,car,308,186,444,281
000325.png,car,3,179,107,226
000325.png,car,507,183,550,211
000325.png,car,577,181,626,225
000325.png,car,108,186,196,217
000325.png,car,195,184,263,210
000326.png,car,919,180,1241,371
000326.png,car,688,185,807,258
000328.png,car,156,203,384,355
000328.png,car,768,185,1060,352
000328.png,car,0,258,229,373
000328.png,car,365,194,471,275
000328.png,car,945,280,1241,373
000328.png,car,640,177,689,213
000328.png,car,740,184,824,271
000330.png,car,732,181,930,300
000330.png,car,662,179,713,217
000330.png,car,0,209,151,278
000330.png,car,707,182,778,256
000331.png,car,0,212,264,318
000331.png,car,324,200,435,242
000332.png,car,554,180,595,216
000333.png,car,0,224,286,364
000333.png,car,0,185,115,233
000333.png,car,506,171,590,209
000334.png,car,693,182,724,200
000335.png,car,760,187,989,362
000335.png,car,456,175,541,241
000335.png,car,65,175,360,260
000335.png,car,145,175,362,257
000335.png,car,711,189,801,279
000335.png,car,639,170,669,200
000338.png,car,835,181,1223,367
000338.png,car,48,169,215,245
000338.png,car,453,175,492,195
000338.png,car,697,175,766,240
000339.png,car,0,219,127,374
000339.png,car,727,174,960,325
000339.png,car,92,177,329,326
000339.png,car,318,193,395,264
000339.png,car,369,186,429,239
000339.png,car,667,178,761,272
000340.png,car,4,207,198,325
000340.png,car,183,206,264,273
000341.png,car,810,138,1215,371
000343.png,car,870,162,1048,268
000343.png,car,607,182,685,242
000343.png,car,685,172,723,202
000344.png,car,566,171,622,222
000344.png,car,296,182,411,254
000344.png,car,1103,163,1239,199
000345.png,car,572,178,622,220
000345.png,car,351,190,441,297
000346.png,car,123,185,342,309
000346.png,car,0,167,151,366
000346.png,car,939,205,1241,370
000346.png,car,727,175,816,215
000346.png,car,608,174,662,201
000347.png,car,442,187,467,200
000348.png,car,792,217,1241,371
000348.png,car,723,187,899,301
000348.png,car,686,188,751,236
000348.png,car,550,182,579,203
000349.png,car,616,175,669,227
000349.png,car,288,187,454,284
000350.png,car,146,211,362,350
000350.png,car,0,209,167,374
000350.png,car,337,195,444,285
000350.png,car,538,187,574,211
000350.png,car,727,180,838,257
000350.png,car,598,183,625,199
000350.png,car,691,182,720,215
000351.png,car,94,194,273,273
000351.png,car,245,180,322,226
000351.png,car,574,182,621,218
000351.png,car,0,153,76,315
000351.png,car,449,181,500,220
000352.png,car,770,176,1070,355
000352.png,car,716,178,816,264
000352.png,car,310,198,427,280
000352.png,car,419,183,479,249
000352.png,car,670,179,730,229
000352.png,car,470,181,524,233
000353.png,car,0,179,269,344
000353.png,car,267,159,391,235
000354.png,car,405,182,561,291
000354.png,car,0,191,410,371
000354.png,car,877,217,1241,370
000354.png,car,587,172,638,212
000354.png,car,743,181,817,242
000354.png,car,707,170,732,193
000355.png,car,406,168,455,206
000356.png,car,638,182,745,258
000356.png,truck,0,136,368,373
000356.png,car,408,185,471,233
000357.png,car,153,188,383,312
000357.png,car,0,192,93,304
000357.png,car,396,184,481,242
000357.png,car,58,179,191,248
000357.png,car,573,176,611,210
000358.png,car,288,180,344,202
000359.png,car,302,174,368,218
000360.png,car,784,184,924,244
000360.png,car,264,185,318,212
000360.png,car,338,180,391,208
000361.png,car,21,199,287,325
000361.png,car,454,187,522,232
000361.png,car,346,193,424,244
000361.png,car,711,164,809,200
000361.png,car,628,180,664,207
000362.png,car,702,184,834,275
000362.png,car,398,196,471,255
000362.png,car,0,252,80,373
000362.png,car,658,183,715,233
000362.png,car,458,182,508,232
000363.png,car,494,178,543,214
000363.png,car,587,177,630,214
000363.png,car,548,179,572,198
000366.png,car,525,180,558,204
000366.png,car,889,150,1014,194
000367.png,car,499,180,534,202
000369.png,car,0,215,295,374
000369.png,car,162,188,312,260
